name,heat_rate_avg_0,heat_rate_incr_1,heat_rate_incr_2,heat_rate_incr_3,heat_rate_incr_4,heat_rate_incr_5,output_point_0,output_point_1,output_point_2,output_point_3,output_point_4,output_point_5
Harry Allen CC_A,1107.171587080676,1277.5424191484453,1462.270839524705,1661.3568482094556,1874.8004452026971,2102.6016305044295,133.5,164.8,196.1,227.4,258.7,290.0
Clark 20,390.29463061481715,457.48602823666636,530.7021077528477,609.9428691633611,695.2083124682068,786.4984376673847,35.0,40.1,45.2,50.3,55.4,60.5
Clark 11,406.04186248660085,499.4956979565502,609.0941094556808,734.837096983993,876.7246605414867,1034.756800128162,35.0,40.1,45.2,50.3,55.4,60.5
Sun Peak 3,884.0560627621412,959.3351092816628,1037.9216276976776,1119.815618010186,1205.0170802191876,1293.5260143246828,65.0,71.62,78.24,84.86,91.47999999999999,98.1
Silverhawk 4,1417.1798124411703,1539.4953827486038,1691.0089842961431,1871.720617083788,2081.6302811115384,2320.7379763793942,83.0,111.2,139.4,167.6,195.8,224.0
Walt Higgings CC_A,1040.9816437371446,1290.7235436478852,1579.2879363760426,1906.674821921617,2272.8842002846077,2677.916071465015,121.0,165.6,210.2,254.8,299.4,344.0
LV Gen 1,252.90072785951196,302.698581215253,355.03278296395297,409.903333105612,467.31023164022974,527.2534785678066,25.0,32.26,39.519999999999996,46.78,54.04,61.3
Sun Peak 4,884.0560627621412,959.3351092816628,1037.9216276976776,1119.815618010186,1205.0170802191876,1293.5260143246828,65.0,71.62,78.24,84.86,91.47999999999999,98.1
LV Gen 3_A,236.15941222384572,297.45609767341614,360.90091592085963,426.49386696617603,494.2349508093656,564.1241674504281,25.0,34.88,44.760000000000005,54.64,64.52000000000001,74.4
Clark 14,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Silverhawk 3,1417.1798124411703,1539.4953827486038,1691.0089842961431,1871.720617083788,2081.6302811115384,2320.7379763793942,83.0,111.2,139.4,167.6,195.8,224.0
Silverhawk CC_B,1108.8204830675274,1298.287634386722,1526.9827137231828,1794.9057210769095,2102.0566564479022,2448.4355198361613,131.0,165.5,200.0,234.5,269.0,303.5
Tracy 4&5 CC,473.77113927537204,549.0021413021564,634.0878596638798,729.0282943605423,833.8234453921438,948.4733127586842,51.5,63.8,76.1,88.4,100.7,113.0
Sun Peak 5,866.8094640845059,946.8919834241283,1046.6182112871547,1165.9881476735866,1305.0017925834222,1463.6591460166628,65.0,71.62,78.24,84.86,91.47999999999999,98.1
Chuck Lenzi 1_A,1063.80242839708,1259.7070739968713,1486.4323258185173,1743.9781838620179,2032.3446481273736,2351.531718614584,117.5,156.3,195.1,233.89999999999998,272.7,311.5
Clark 15,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Chuck Lenzi 1_B,1048.4174684037082,1253.737003728991,1484.878081807851,1741.840702640288,2024.6248662263029,2333.2305725658944,117.5,156.3,195.1,233.89999999999998,272.7,311.5
Valmy 1,421.8835784177808,584.6411341432325,752.1478630724562,924.4037652054518,1101.4088405422194,1283.163089082759,22.5,43.4,64.3,85.19999999999999,106.1,127.0
Clark 12,348.444529774189,397.0767641177416,451.0831313770295,510.4636315520525,575.2182646428108,645.3470306493043,35.0,40.1,45.2,50.3,55.4,60.5
Harry Allen 4,535.19936550498,600.6692529785156,673.8034825765133,754.6020542989731,843.064968145895,939.192224117279,35.0,44.8,54.6,64.4,74.2,84.0
Valmy CT 4,1276.3120723237525,1384.7249832269054,1518.6954361260725,1678.223431021254,1863.3089679124498,2073.95204679966,74.77,99.816,124.862,149.90800000000002,174.954,200.0
Clark 22,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Clark 4,238.17104433059694,314.260798213625,427.026062295723,576.466836576891,762.5831210571288,985.3749157364368,20.0,28.6,37.2,45.8,54.4,63.0
Clark 18,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Clark 13,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Harry Allen 3,682.0648711290597,682.0648711290597,712.2643008945942,796.2433111528396,928.1068642220018,1107.8549601020811,35.0,44.8,54.6,64.4,74.2,84.0
Clark Mt. 4,548.592848033905,610.9561601249695,678.7295697196961,751.9130768180847,830.5066814201356,914.5103835258485,35.0,42.6,50.2,57.8,65.4,73.0
Walt Higgings CC_B,1039.94055080384,1293.064588686943,1586.39787504071,1919.940409865141,2293.6921931602355,2707.653224925995,121.0,165.6,210.2,254.8,299.4,344.0
"Tracy 8, 9, 10_B",1110.6644955435768,1313.0053562688026,1557.252639065653,1843.406343934128,2171.4664708742275,2541.4330198859516,125.0,163.5,202.0,240.5,279.0,317.5
LV Gen 2_B,235.14829207621514,294.7722945351792,358.68417809681836,426.88394276113274,499.3715885281224,576.147115397787,25.0,34.88,44.760000000000005,54.64,64.52000000000001,74.4
"Tracy 8, 9, 10_A",1115.5708971740678,1316.5009791225214,1556.2778584091961,1834.9015350340921,2152.3720089972094,2508.6892802985476,125.0,163.5,202.0,240.5,279.0,317.5
Ft. Churchill 2,203.62744701990857,408.0310109810688,616.7694500700511,829.8427642868558,1047.2509536314824,1268.994018103931,15.0,34.6,54.2,73.80000000000001,93.4,113.0
Clark Mt. 3,538.3935067385435,605.2071368931532,674.2042559460401,745.3848638972044,818.7489607466459,894.2965464943647,35.0,42.6,50.2,57.8,65.4,73.0
Chuck Lenzi 2_B,1035.2180667998734,1252.3310720642303,1491.3726172368172,1752.3427023176346,2035.2413273066823,2340.06849220396,117.5,156.3,195.1,233.89999999999998,272.7,311.5
Valmy 2,420.73098412930966,597.63907777552,783.1377977446556,977.2271440367163,1179.907116651702,1391.1777155896127,20.0,42.8,65.6,88.4,111.2,134.0
LV Gen 3_B,232.9720971370116,295.9901489777565,360.0884431309596,425.2669795966208,491.5257583747403,558.8647794653177,25.0,34.88,44.760000000000005,54.64,64.52000000000001,74.4
Ft. Churchill 1,226.96652141794564,427.40833785175687,631.2465473832071,838.4811500122967,1049.112145739025,1263.1395345633925,15.0,34.6,54.2,73.80000000000001,93.4,113.0
Clark 19,396.676656268239,474.7568135485471,563.4625608662606,662.7938982213794,772.750825613904,893.333343043834,35.0,40.1,45.2,50.3,55.4,60.5
LV Gen 2_A,231.54084910228846,289.64207826240545,351.1496123705304,416.0634514266634,484.3835954308046,556.1100443829537,25.0,34.88,44.760000000000005,54.64,64.52000000000001,74.4
Clark 16,378.123066816926,443.5896253536761,517.3885173958779,599.5197429435312,689.9833019966363,788.7791945551932,35.0,40.1,45.2,50.3,55.4,60.5
Valmy CT 3,1276.3120723237525,1384.7249832269054,1518.6954361260725,1678.223431021254,1863.3089679124498,2073.95204679966,74.77,99.816,124.862,149.90800000000002,174.954,200.0
Clark 17,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Silverhawk CC_A,1108.5631202868299,1296.452427077951,1519.4283584713935,1777.4909144671578,2070.6400950652433,2398.8759002656507,131.0,165.5,200.0,234.5,269.0,303.5
Tracy 3,377.25463715171816,548.4811799490928,724.7411472717284,906.0345391196249,1092.3613554927824,1283.721596391201,28.0,44.4,60.8,77.19999999999999,93.6,110.0
Harry Allen CC_B,1097.5965096546681,1274.7535529381275,1463.881243708268,1664.9795819650897,1878.0485677085921,2103.088200938776,133.5,164.8,196.1,227.4,258.7,290.0
Clark 21,395.48574897468086,463.56150784532434,539.8302034853936,624.2918358948885,716.9464050738096,817.7939110221565,35.0,40.1,45.2,50.3,55.4,60.5
Chuck Lenzi 2_A,1051.905246519735,1257.5222971780536,1490.4348183551397,1750.6428100509938,2038.1462722656156,2352.9452049990055,117.5,156.3,195.1,233.89999999999998,272.7,311.5
